TIME,H2S-ppb,H2S-ppb-zugam,speed-avg,speed-max,vane-avg
11/03/2025 00:40:53,33.04,3.68,0.0,0.0,0.0
11/03/2025 00:46:07,36.42,6.14,0.0,0.0,0.0
11/03/2025 00:50:53,39.29,7.05,0.47,0.67,169.0
11/03/2025 00:56:07,34.61,4.85,0.36,0.67,165.0
11/03/2025 01:00:55,31.58,5.45,0.0,0.0,0.0
11/03/2025 01:06:07,36.76,6.0,0.0,0.0,0.0
11/03/2025 01:10:55,39.66,6.53,0.0,0.0,0.0
11/03/2025 01:16:07,35.96,5.19,0.0,0.0,0.0
11/03/2025 01:21:13,33.4,5.13,0.0,0.0,0.0
11/03/2025 01:26:07,35.85,9.4,0.0,0.0,0.0
11/03/2025 01:30:55,37.44,9.43,0.11,0.67,165.0
11/03/2025 01:36:07,31.64,6.23,0.0,0.0,0.0
11/03/2025 01:40:53,33.77,10.26,0.0,0.0,0.0
11/03/2025 01:46:07,34.88,10.3,0.0,0.0,0.0
11/03/2025 01:50:53,30.48,7.16,0.02,0.34,170.0
11/03/2025 01:56:07,34.1,10.95,0.31,1.01,171.0
11/03/2025 02:00:53,36.44,11.76,0.36,0.67,170.0
11/03/2025 02:06:07,35.47,12.27,0.19,1.01,183.0
11/03/2025 02:10:55,34.52,12.53,0.0,0.0,0.0
11/03/2025 02:16:07,34.9,10.01,0.0,0.0,0.0
11/03/2025 02:21:15,29.46,9.93,0.29,1.01,191.0
11/03/2025 02:26:07,32.68,56.02,0.16,0.67,195.0
11/03/2025 02:30:53,29.95,11.97,0.26,1.01,194.0
11/03/2025 02:36:07,27.25,9.47,0.12,0.67,184.0
11/03/2025 02:40:55,25.43,7.31,1.03,2.35,156.0
11/03/2025 02:46:07,20.71,5.81,1.64,3.02,158.0
11/03/2025 02:50:55,21.6,7.95,1.9,3.02,155.0
11/03/2025 02:56:07,21.07,7.1,2.01,3.02,152.0
11/03/2025 03:00:53,22.3,8.26,1.22,2.35,161.0
11/03/2025 03:06:07,25.03,8.97,0.69,1.34,185.0
11/03/2025 03:10:53,27.12,10.97,0.05,0.67,199.0
11/03/2025 03:16:07,30.35,10.87,0.04,0.67,196.0
11/03/2025 03:21:13,28.47,9.44,0.42,1.34,180.0
11/03/2025 03:26:07,25.64,8.44,0.3,1.34,210.0
11/03/2025 03:30:55,29.87,5.15,0.0,0.34,231.0
11/03/2025 03:36:07,30.92,6.23,0.0,0.0,0.0
11/03/2025 03:40:55,28.1,3.97,0.28,1.34,201.0
11/03/2025 03:46:07,23.3,2.05,0.72,1.34,164.0
11/03/2025 03:50:53,21.45,2.1,1.08,2.68,150.0
11/03/2025 03:56:07,21.53,2.72,1.26,3.69,137.0
11/03/2025 04:00:53,20.77,2.13,1.06,2.68,119.0
11/03/2025 04:06:07,20.9,2.91,0.91,3.69,117.0
11/03/2025 04:10:53,20.44,3.89,1.24,2.68,97.0
11/03/2025 04:16:07,22.25,3.94,1.01,2.68,92.0
11/03/2025 04:21:15,21.2,3.21,0.96,2.68,101.0
11/03/2025 04:26:08,21.16,22.55,0.77,2.35,105.0
11/03/2025 04:30:56,21.35,4.97,1.22,2.68,106.0
11/03/2025 04:36:07,21.9,3.9,1.09,3.02,93.0
11/03/2025 04:40:53,22.45,3.6,0.87,3.02,108.0
11/03/2025 04:46:07,22.5,4.15,1.07,3.02,86.0
11/03/2025 04:50:53,23.31,2.83,0.56,1.68,91.0
11/03/2025 04:56:07,23.51,2.91,0.64,2.35,86.0
11/03/2025 05:00:53,23.34,2.87,0.58,1.34,86.0
11/03/2025 05:06:07,24.81,2.48,0.68,2.01,88.0
11/03/2025 05:10:53,23.26,2.41,0.67,2.35,98.0
11/03/2025 05:16:07,24.29,2.95,0.76,2.01,88.0
11/03/2025 05:21:15,24.66,1.91,0.61,2.01,119.0
11/03/2025 05:26:07,24.87,40.87,0.82,1.68,105.0
11/03/2025 05:30:55,25.85,4.55,0.47,1.34,130.0
11/03/2025 05:36:07,27.45,4.46,0.24,0.67,157.0
11/03/2025 05:40:55,28.44,3.21,0.03,0.67,168.0
11/03/2025 05:46:07,28.29,2.0,0.06,0.67,169.0
11/03/2025 05:50:53,29.63,1.96,0.41,1.01,162.0
11/03/2025 05:56:07,26.57,1.89,0.18,1.01,169.0
11/03/2025 06:00:53,25.75,2.69,0.6,1.01,164.0
11/03/2025 06:06:07,24.96,1.05,0.46,1.34,145.0
11/03/2025 06:10:53,25.0,1.33,0.53,1.68,142.0
11/03/2025 06:16:07,26.78,1.28,0.56,1.34,133.0
11/03/2025 06:21:15,28.01,1.73,0.65,1.68,144.0
11/03/2025 06:26:07,24.7,28.17,0.84,2.01,121.0
11/03/2025 06:30:53,24.0,2.31,0.78,2.35,127.0
11/03/2025 06:36:07,24.15,1.73,0.83,2.01,145.0
11/03/2025 06:40:53,26.8,2.98,0.77,1.34,160.0
11/03/2025 06:46:07,30.3,2.79,0.63,2.01,167.0
11/03/2025 06:50:55,27.21,2.44,0.69,1.34,167.0
11/03/2025 06:56:07,26.21,1.59,0.53,1.68,157.0
11/03/2025 07:00:55,25.0,1.66,0.17,1.01,151.0
11/03/2025 07:06:07,25.23,1.56,0.29,1.34,156.0
11/03/2025 07:10:53,26.42,2.29,0.44,1.34,167.0
11/03/2025 07:16:07,29.84,4.02,1.03,2.01,166.0
11/03/2025 07:21:13,28.73,5.64,1.29,3.02,164.0
11/03/2025 07:26:08,26.51,6.46,0.83,2.01,163.0
11/03/2025 07:30:55,26.91,6.08,0.75,1.68,166.0
11/03/2025 07:36:07,24.82,4.2,1.0,2.01,159.0
11/03/2025 07:40:55,21.7,3.32,0.71,2.68,121.0
11/03/2025 07:46:07,20.58,4.85,1.14,3.35,122.0
11/03/2025 07:50:53,19.51,4.94,1.13,3.02,134.0
11/03/2025 07:56:07,18.94,5.77,1.13,3.69,124.0
11/03/2025 08:00:53,18.75,7.16,1.55,3.02,117.0
11/03/2025 08:06:07,16.56,6.83,1.65,3.35,109.0
11/03/2025 08:10:53,12.32,8.0,1.64,4.69,129.0
11/03/2025 08:16:07,10.21,7.21,1.31,3.35,130.0
11/03/2025 08:21:15,10.22,4.97,1.37,2.68,125.0
11/03/2025 08:26:07,11.04,8.08,1.58,3.02,130.0
11/03/2025 08:30:53,12.21,6.21,1.68,2.68,124.0
11/03/2025 08:36:07,9.09,7.37,2.19,4.36,113.0
11/03/2025 08:40:53,5.76,9.96,1.22,3.02,115.0
11/03/2025 08:46:07,3.29,11.43,2.16,4.36,74.0
11/03/2025 08:50:55,3.46,11.4,1.71,4.36,104.0
11/03/2025 08:56:07,3.58,12.06,2.38,4.36,103.0
11/03/2025 09:00:55,3.31,9.86,2.61,4.36,89.0
11/03/2025 09:06:07,3.74,9.89,2.23,5.03,98.0
11/03/2025 09:10:53,3.06,10.74,1.0,2.68,104.0
11/03/2025 09:16:07,3.88,8.2,1.53,4.02,98.0
11/03/2025 09:21:13,3.66,8.84,2.47,4.69,109.0
11/03/2025 09:30:53,3.61,8.22,2.41,5.36,111.0
11/03/2025 09:36:07,3.25,7.52,1.79,3.69,104.0
11/03/2025 09:40:53,3.87,9.27,1.88,5.36,104.0
11/03/2025 09:46:07,3.64,7.13,2.13,4.02,111.0
11/03/2025 09:50:55,3.42,12.42,1.59,3.35,89.0
11/03/2025 09:56:07,3.8,10.19,2.23,5.03,94.0
11/03/2025 10:00:55,3.16,10.6,2.26,5.36,102.0
11/03/2025 10:06:07,3.8,10.12,1.82,4.02,79.0
11/03/2025 10:10:53,3.45,7.8,2.23,4.69,71.0
11/03/2025 10:16:07,3.66,8.27,2.5,4.69,77.0
11/03/2025 10:21:14,3.75,10.89,2.57,5.03,74.0
11/03/2025 10:26:10,3.31,31.88,2.27,5.03,71.0
11/03/2025 10:30:55,3.89,14.45,2.13,4.02,82.0
11/03/2025 10:36:07,3.4,10.42,1.93,3.69,79.0
11/03/2025 10:40:53,3.72,6.2,2.28,4.36,65.0
11/03/2025 10:46:08,3.66,2.43,2.95,5.7,102.0
11/03/2025 10:50:53,3.56,8.8,2.87,5.7,74.0
11/03/2025 10:56:07,3.72,7.48,3.35,5.7,66.0
11/03/2025 11:00:53,3.08,8.08,3.33,6.03,53.0
11/03/2025 11:06:08,3.82,6.89,1.98,5.7,64.0
11/03/2025 11:10:55,3.63,3.82,2.15,4.69,77.0
11/03/2025 11:16:08,3.5,2.49,2.94,5.03,62.0
11/03/2025 11:26:08,3.53,2.97,2.4,6.03,71.0
11/03/2025 11:30:55,3.82,1.96,2.84,4.02,50.0
11/03/2025 11:36:07,9.26,0.83,1.83,3.02,58.0
11/03/2025 11:40:56,16.36,1.97,2.14,3.69,52.0
11/03/2025 11:46:08,17.6,0.74,1.62,3.02,68.0
11/03/2025 11:50:53,19.97,1.3,1.93,3.69,52.0
11/03/2025 11:56:07,23.42,1.38,1.24,2.68,62.0
11/03/2025 12:00:53,25.76,2.0,1.47,3.02,54.0
11/03/2025 12:06:07,26.82,2.32,1.94,3.69,59.0
11/03/2025 12:10:55,27.44,2.7,2.26,3.69,48.0
11/03/2025 12:16:07,28.18,4.08,2.03,3.69,38.0
11/03/2025 12:21:15,24.53,2.43,2.54,4.02,44.0
11/03/2025 12:26:07,24.8,3.66,2.35,3.69,43.0
11/03/2025 12:30:53,25.65,5.4,1.39,3.02,47.0
11/03/2025 12:36:07,22.27,4.26,2.09,3.35,47.0
11/03/2025 12:40:53,22.95,5.64,2.05,3.35,43.0
11/03/2025 12:46:07,20.82,5.65,2.37,4.36,38.0
11/03/2025 12:50:55,21.95,6.3,2.21,4.36,39.0
11/03/2025 12:56:07,18.8,4.32,3.21,4.69,30.0
11/03/2025 13:00:55,17.72,6.47,2.72,3.69,35.0
11/03/2025 13:06:07,18.69,8.53,2.69,4.36,35.0
11/03/2025 13:10:53,13.15,6.6,3.62,5.36,28.0
11/03/2025 13:16:07,13.2,6.44,3.63,5.7,22.0
11/03/2025 13:21:13,14.98,8.24,2.95,4.36,33.0
11/03/2025 13:30:53,15.65,8.04,3.18,4.36,15.0
11/03/2025 13:36:07,18.88,8.76,2.86,4.02,20.0
11/03/2025 13:40:53,15.65,6.26,3.23,5.03,359.0
