TIME,CH3SH PPB Médio,CH3SH PPB Máximo,CH3SH PPB Mínimo,CH3SH uG Médio
2026-03-20 13:08:32,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 13:38:39,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 14:08:45,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 14:38:56,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 15:09:03,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 15:39:09,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 16:09:15,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 16:39:21,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 17:09:28,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 17:39:34,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 18:09:40,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 18:39:52,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 19:09:58,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 19:40:04,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 20:10:10,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 20:40:16,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 21:10:23,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 21:40:29,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 22:10:35,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 23:10:47,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-20 23:40:54,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 00:11:00,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 00:41:06,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 01:11:12,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 01:41:18,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 02:11:25,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 02:41:31,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 03:11:37,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 03:41:43,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 04:11:49,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 04:42:01,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 05:12:07,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 05:42:13,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 06:12:20,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 06:42:26,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 07:12:32,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 07:42:38,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 08:12:44,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 08:42:51,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 09:12:57,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 09:43:03,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 10:13:09,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 10:43:16,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 11:13:22,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 11:43:28,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 12:13:34,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 12:43:41,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-21 13:55:11,3 ppb,7 ppb,1 ppb,520 ppb
2026-03-21 14:25:22,3 ppb,7 ppb,1 ppb,518 ppb
2026-03-21 14:55:34,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-21 15:25:40,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-21 15:55:47,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 16:25:53,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 16:55:59,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-21 17:26:05,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 17:56:11,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 18:26:18,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 18:56:24,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 19:26:30,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 19:56:36,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 20:26:43,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 20:56:49,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 21:26:55,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 21:57:01,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 22:27:08,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 22:57:14,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 23:27:20,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-21 23:57:26,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 00:27:38,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 00:57:44,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 01:27:50,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 01:57:57,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 02:28:03,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 02:58:09,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 03:28:15,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 03:58:21,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 04:28:27,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 04:58:34,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 05:28:40,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 05:58:46,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 06:28:52,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 06:58:59,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 07:29:05,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 07:59:11,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 08:29:17,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 08:59:23,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 09:29:30,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-22 09:59:36,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 10:29:42,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 10:59:54,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 11:30:00,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-22 12:00:06,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 12:30:12,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-22 13:00:19,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-22 13:30:25,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-22 14:00:31,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-22 14:30:37,3 ppb,7 ppb,1 ppb,513 ppb
2026-03-22 15:30:55,3 ppb,7 ppb,1 ppb,512 ppb
2026-03-22 16:31:08,3 ppb,7 ppb,1 ppb,512 ppb
2026-03-22 17:01:25,3 ppb,7 ppb,1 ppb,512 ppb
2026-03-22 17:31:38,3 ppb,7 ppb,1 ppb,513 ppb
