TIME,NH3 PPB Médio,NH3 PPB Máximo,NH3 PPB Mínimo,NH3 uG Médio
2026-03-20 13:08:32,225 ppb,247 ppb,205 ppb,155 ppb
2026-03-20 13:38:39,229 ppb,254 ppb,207 ppb,157 ppb
2026-03-20 14:08:45,236 ppb,248 ppb,224 ppb,162 ppb
2026-03-20 14:38:56,473 ppb,873 ppb,174 ppb,325 ppb
2026-03-20 15:09:03,302 ppb,431 ppb,242 ppb,208 ppb
2026-03-20 15:39:09,213 ppb,272 ppb,133 ppb,147 ppb
2026-03-20 16:09:15,150 ppb,192 ppb,119 ppb,104 ppb
2026-03-20 16:39:21,117 ppb,153 ppb,76 ppb,81 ppb
2026-03-20 17:09:28,60 ppb,112 ppb,32 ppb,42 ppb
2026-03-20 17:39:34,38 ppb,81 ppb,15 ppb,26 ppb
2026-03-20 18:09:40,39 ppb,50 ppb,16 ppb,27 ppb
2026-03-20 18:39:52,38 ppb,43 ppb,36 ppb,26 ppb
2026-03-20 19:09:58,40 ppb,45 ppb,37 ppb,28 ppb
2026-03-20 19:40:04,46 ppb,52 ppb,42 ppb,32 ppb
2026-03-20 20:10:10,60 ppb,73 ppb,42 ppb,41 ppb
2026-03-20 20:40:16,70 ppb,78 ppb,60 ppb,48 ppb
2026-03-20 21:10:23,82 ppb,89 ppb,76 ppb,57 ppb
2026-03-20 21:40:29,91 ppb,98 ppb,85 ppb,63 ppb
2026-03-20 22:10:35,114 ppb,133 ppb,97 ppb,79 ppb
2026-03-20 23:10:47,126 ppb,141 ppb,111 ppb,87 ppb
2026-03-20 23:40:54,141 ppb,159 ppb,124 ppb,97 ppb
2026-03-21 00:11:00,169 ppb,179 ppb,157 ppb,116 ppb
2026-03-21 00:41:06,189 ppb,201 ppb,178 ppb,130 ppb
2026-03-21 01:11:12,194 ppb,201 ppb,188 ppb,134 ppb
2026-03-21 01:41:18,196 ppb,204 ppb,188 ppb,135 ppb
2026-03-21 02:11:25,191 ppb,199 ppb,181 ppb,131 ppb
2026-03-21 02:41:31,180 ppb,190 ppb,172 ppb,124 ppb
2026-03-21 03:11:37,176 ppb,184 ppb,166 ppb,121 ppb
2026-03-21 03:41:43,167 ppb,181 ppb,155 ppb,115 ppb
2026-03-21 04:11:49,156 ppb,173 ppb,142 ppb,107 ppb
2026-03-21 04:42:01,156 ppb,167 ppb,140 ppb,107 ppb
2026-03-21 05:12:07,145 ppb,162 ppb,129 ppb,100 ppb
2026-03-21 05:42:13,129 ppb,148 ppb,115 ppb,89 ppb
2026-03-21 06:12:20,128 ppb,140 ppb,117 ppb,88 ppb
2026-03-21 06:42:26,113 ppb,137 ppb,2 ppb,78 ppb
2026-03-21 07:12:32,130 ppb,140 ppb,112 ppb,90 ppb
2026-03-21 07:42:38,19 ppb,103 ppb,1 ppb,13 ppb
2026-03-21 08:12:44,49 ppb,91 ppb,1 ppb,34 ppb
2026-03-21 08:42:51,79 ppb,107 ppb,36 ppb,54 ppb
2026-03-21 09:12:57,119 ppb,153 ppb,89 ppb,82 ppb
2026-03-21 09:43:03,235 ppb,670 ppb,1 ppb,162 ppb
2026-03-21 10:13:09,319 ppb,607 ppb,191 ppb,220 ppb
2026-03-21 10:43:16,184 ppb,223 ppb,131 ppb,127 ppb
2026-03-21 11:13:22,163 ppb,187 ppb,118 ppb,112 ppb
2026-03-21 11:43:28,163 ppb,178 ppb,136 ppb,112 ppb
2026-03-21 12:13:34,153 ppb,174 ppb,143 ppb,105 ppb
2026-03-21 12:43:41,255 ppb,500 ppb,44 ppb,175 ppb
2026-03-21 13:55:11,60 ppb,332 ppb,1 ppb,3682 ppb
2026-03-21 14:25:22,51 ppb,91 ppb,11 ppb,3119 ppb
2026-03-21 14:55:34,37 ppb,51 ppb,23 ppb,2258 ppb
2026-03-21 15:25:40,39 ppb,57 ppb,24 ppb,2378 ppb
2026-03-21 15:55:47,71 ppb,89 ppb,51 ppb,4327 ppb
2026-03-21 16:25:53,100 ppb,112 ppb,78 ppb,6089 ppb
2026-03-21 16:55:59,112 ppb,132 ppb,92 ppb,6816 ppb
2026-03-21 17:26:05,129 ppb,150 ppb,111 ppb,7852 ppb
2026-03-21 17:56:11,146 ppb,154 ppb,136 ppb,8889 ppb
2026-03-21 18:26:18,157 ppb,173 ppb,141 ppb,9561 ppb
2026-03-21 18:56:24,167 ppb,178 ppb,147 ppb,10171 ppb
2026-03-21 19:26:30,180 ppb,191 ppb,166 ppb,10963 ppb
2026-03-21 19:56:36,186 ppb,200 ppb,174 ppb,11329 ppb
2026-03-21 20:26:43,206 ppb,220 ppb,194 ppb,12548 ppb
2026-03-21 20:56:49,225 ppb,238 ppb,212 ppb,13705 ppb
2026-03-21 21:26:55,242 ppb,253 ppb,223 ppb,14740 ppb
2026-03-21 21:57:01,246 ppb,256 ppb,235 ppb,14983 ppb
2026-03-21 22:27:08,258 ppb,269 ppb,248 ppb,15714 ppb
2026-03-21 22:57:14,266 ppb,279 ppb,255 ppb,16201 ppb
2026-03-21 23:27:20,279 ppb,287 ppb,270 ppb,16992 ppb
2026-03-21 23:57:26,285 ppb,294 ppb,277 ppb,17358 ppb
2026-03-22 00:27:38,293 ppb,301 ppb,283 ppb,17845 ppb
2026-03-22 00:57:44,298 ppb,303 ppb,293 ppb,18148 ppb
2026-03-22 01:27:50,293 ppb,300 ppb,287 ppb,17844 ppb
2026-03-22 01:57:57,290 ppb,298 ppb,284 ppb,17662 ppb
2026-03-22 02:28:03,281 ppb,289 ppb,273 ppb,17114 ppb
2026-03-22 02:58:09,258 ppb,276 ppb,242 ppb,15714 ppb
2026-03-22 03:28:15,226 ppb,257 ppb,192 ppb,13766 ppb
2026-03-22 03:58:21,180 ppb,199 ppb,167 ppb,10965 ppb
2026-03-22 04:28:27,152 ppb,172 ppb,136 ppb,9261 ppb
2026-03-22 04:58:34,143 ppb,154 ppb,135 ppb,8714 ppb
2026-03-22 05:28:40,152 ppb,164 ppb,141 ppb,9264 ppb
2026-03-22 05:58:46,163 ppb,170 ppb,153 ppb,9935 ppb
2026-03-22 06:28:52,157 ppb,167 ppb,147 ppb,9570 ppb
2026-03-22 06:58:59,168 ppb,192 ppb,148 ppb,10242 ppb
2026-03-22 07:29:05,183 ppb,200 ppb,161 ppb,11157 ppb
2026-03-22 07:59:11,178 ppb,203 ppb,150 ppb,10850 ppb
