TIME,NH3 PPB Médio,NH3 PPB Máximo,NH3 PPB Mínimo,NH3 uG Médio
2026-03-25 22:12:23,115 ppb,129 ppb,88 ppb,79 ppb
2026-03-25 22:42:29,129 ppb,142 ppb,118 ppb,89 ppb
2026-03-25 22:42:29,129 ppb,142 ppb,118 ppb,89 ppb
2026-03-25 23:12:35,148 ppb,162 ppb,125 ppb,102 ppb
2026-03-25 23:12:35,148 ppb,162 ppb,125 ppb,102 ppb
2026-03-25 23:42:42,125 ppb,143 ppb,107 ppb,86 ppb
2026-03-26 00:12:48,84 ppb,145 ppb,43 ppb,58 ppb
2026-03-26 00:12:48,84 ppb,145 ppb,43 ppb,58 ppb
2026-03-26 00:42:54,61 ppb,79 ppb,40 ppb,42 ppb
2026-03-26 00:42:54,61 ppb,79 ppb,40 ppb,42 ppb
2026-03-26 01:13:00,85 ppb,96 ppb,70 ppb,59 ppb
2026-03-26 01:13:00,85 ppb,96 ppb,70 ppb,59 ppb
2026-03-26 01:43:07,106 ppb,123 ppb,88 ppb,73 ppb
2026-03-26 01:43:07,106 ppb,123 ppb,88 ppb,73 ppb
2026-03-26 02:13:13,112 ppb,130 ppb,95 ppb,77 ppb
2026-03-26 02:43:19,132 ppb,143 ppb,119 ppb,91 ppb
2026-03-26 02:43:19,132 ppb,143 ppb,119 ppb,91 ppb
2026-03-26 03:13:31,144 ppb,151 ppb,128 ppb,99 ppb
2026-03-26 03:43:37,149 ppb,155 ppb,141 ppb,103 ppb
2026-03-26 04:13:43,154 ppb,158 ppb,149 ppb,106 ppb
2026-03-26 04:13:43,154 ppb,158 ppb,149 ppb,106 ppb
2026-03-26 05:13:56,170 ppb,178 ppb,164 ppb,117 ppb
2026-03-26 05:13:56,170 ppb,178 ppb,164 ppb,117 ppb
2026-03-26 05:44:02,172 ppb,177 ppb,166 ppb,119 ppb
2026-03-26 05:44:02,172 ppb,177 ppb,166 ppb,119 ppb
2026-03-26 06:14:08,174 ppb,183 ppb,167 ppb,120 ppb
2026-03-26 06:14:08,174 ppb,183 ppb,167 ppb,120 ppb
2026-03-26 06:44:14,178 ppb,183 ppb,171 ppb,123 ppb
2026-03-26 06:44:14,178 ppb,183 ppb,171 ppb,123 ppb
2026-03-26 07:14:20,175 ppb,184 ppb,159 ppb,121 ppb
2026-03-26 07:14:20,175 ppb,184 ppb,159 ppb,121 ppb
2026-03-26 07:44:27,99 ppb,131 ppb,2 ppb,68 ppb
2026-03-26 08:44:39,98 ppb,115 ppb,85 ppb,68 ppb
2026-03-26 08:44:39,98 ppb,115 ppb,85 ppb,68 ppb
2026-03-26 09:14:57,91 ppb,99 ppb,82 ppb,63 ppb
2026-03-26 09:14:57,91 ppb,99 ppb,82 ppb,63 ppb
2026-03-26 09:45:04,229 ppb,506 ppb,90 ppb,158 ppb
2026-03-26 10:15:17,305 ppb,477 ppb,214 ppb,212 ppb
2026-03-26 10:45:30,196 ppb,331 ppb,141 ppb,136 ppb
2026-03-26 11:15:43,144 ppb,161 ppb,121 ppb,100 ppb
2026-03-26 11:46:01,120 ppb,132 ppb,107 ppb,84 ppb
2026-03-26 12:16:07,107 ppb,166 ppb,61 ppb,75 ppb
2026-03-26 12:46:13,71 ppb,139 ppb,38 ppb,50 ppb
2026-03-26 13:16:20,37 ppb,53 ppb,18 ppb,26 ppb
2026-03-26 14:16:32,8 ppb,23 ppb,1 ppb,6 ppb
2026-03-26 14:46:38,6 ppb,17 ppb,1 ppb,4 ppb
2026-03-26 15:16:44,11 ppb,29 ppb,1 ppb,8 ppb
2026-03-26 15:46:56,13 ppb,28 ppb,1 ppb,9 ppb
2026-03-26 16:17:02,6 ppb,25 ppb,1 ppb,4 ppb
2026-03-26 16:47:09,3 ppb,7 ppb,1 ppb,2 ppb
2026-03-26 16:47:09,3 ppb,7 ppb,1 ppb,2 ppb
2026-03-26 17:17:15,3 ppb,7 ppb,1 ppb,2 ppb
2026-03-26 17:47:21,56 ppb,356 ppb,1 ppb,39 ppb
2026-03-26 18:17:27,51 ppb,396 ppb,1 ppb,35 ppb
2026-03-26 18:17:27,51 ppb,396 ppb,1 ppb,35 ppb
2026-03-26 18:47:34,54 ppb,452 ppb,1 ppb,37 ppb
2026-03-26 19:17:40,39 ppb,198 ppb,1 ppb,27 ppb
2026-03-26 19:17:40,39 ppb,198 ppb,1 ppb,27 ppb
2026-03-26 19:47:46,87 ppb,112 ppb,72 ppb,60 ppb
2026-03-26 20:17:52,95 ppb,109 ppb,81 ppb,66 ppb
2026-03-26 21:18:04,125 ppb,132 ppb,115 ppb,87 ppb
2026-03-26 21:18:04,125 ppb,132 ppb,115 ppb,87 ppb
2026-03-26 21:48:11,134 ppb,166 ppb,120 ppb,93 ppb
2026-03-26 21:48:11,134 ppb,166 ppb,120 ppb,93 ppb
2026-03-26 22:18:17,137 ppb,151 ppb,127 ppb,95 ppb
2026-03-26 22:18:17,137 ppb,151 ppb,127 ppb,95 ppb
2026-03-26 22:48:23,129 ppb,142 ppb,119 ppb,89 ppb
2026-03-26 22:48:23,129 ppb,142 ppb,119 ppb,89 ppb
2026-03-26 23:18:29,122 ppb,134 ppb,111 ppb,84 ppb
2026-03-26 23:48:36,137 ppb,177 ppb,111 ppb,95 ppb
2026-03-27 00:18:42,131 ppb,165 ppb,123 ppb,91 ppb
2026-03-27 00:48:48,141 ppb,152 ppb,128 ppb,98 ppb
2026-03-27 01:18:54,136 ppb,151 ppb,124 ppb,94 ppb
2026-03-27 01:49:12,133 ppb,146 ppb,115 ppb,92 ppb
2026-03-27 17:52:42,93 ppb,109 ppb,84 ppb,64 ppb
2026-03-27 17:52:42,93 ppb,109 ppb,84 ppb,64 ppb
2026-03-27 18:22:48,101 ppb,123 ppb,88 ppb,70 ppb
2026-03-27 18:52:54,122 ppb,142 ppb,112 ppb,84 ppb
2026-03-27 18:52:54,122 ppb,142 ppb,112 ppb,84 ppb
2026-03-27 18:52:54,122 ppb,142 ppb,112 ppb,84 ppb
2026-03-27 19:23:00,126 ppb,133 ppb,120 ppb,87 ppb
2026-03-27 19:23:00,126 ppb,133 ppb,120 ppb,87 ppb
2026-03-27 19:23:00,126 ppb,133 ppb,120 ppb,87 ppb
2026-03-27 19:53:06,119 ppb,133 ppb,97 ppb,82 ppb
2026-03-27 20:23:13,113 ppb,130 ppb,97 ppb,78 ppb
2026-03-27 20:53:19,117 ppb,144 ppb,105 ppb,81 ppb
2026-03-27 21:23:25,135 ppb,160 ppb,123 ppb,93 ppb
2026-03-27 21:23:25,135 ppb,160 ppb,123 ppb,93 ppb
2026-03-27 21:53:31,128 ppb,137 ppb,120 ppb,89 ppb
2026-03-27 21:53:31,128 ppb,137 ppb,120 ppb,89 ppb
2026-03-27 22:23:37,136 ppb,143 ppb,130 ppb,94 ppb
2026-03-27 22:23:37,136 ppb,143 ppb,130 ppb,94 ppb
2026-03-27 22:23:37,136 ppb,143 ppb,130 ppb,94 ppb
2026-03-27 22:53:44,131 ppb,138 ppb,127 ppb,91 ppb
2026-03-27 23:23:50,144 ppb,168 ppb,131 ppb,100 ppb
2026-03-27 23:23:50,144 ppb,168 ppb,131 ppb,100 ppb
2026-03-27 23:53:56,143 ppb,155 ppb,137 ppb,99 ppb
2026-03-27 23:53:56,143 ppb,155 ppb,137 ppb,99 ppb
2026-03-28 00:24:02,137 ppb,149 ppb,126 ppb,95 ppb
2026-03-28 00:54:08,129 ppb,135 ppb,125 ppb,89 ppb
2026-03-28 00:54:08,129 ppb,135 ppb,125 ppb,89 ppb
2026-03-28 00:54:08,129 ppb,135 ppb,125 ppb,89 ppb
2026-03-28 01:24:14,130 ppb,137 ppb,117 ppb,90 ppb
2026-03-28 01:24:14,130 ppb,137 ppb,117 ppb,90 ppb
2026-03-28 01:24:14,130 ppb,137 ppb,117 ppb,90 ppb
2026-03-28 01:54:21,129 ppb,137 ppb,121 ppb,89 ppb
2026-03-28 01:54:21,129 ppb,137 ppb,121 ppb,89 ppb
2026-03-28 02:24:27,126 ppb,142 ppb,115 ppb,87 ppb
2026-03-28 02:54:34,141 ppb,154 ppb,131 ppb,98 ppb
2026-03-28 02:54:34,141 ppb,154 ppb,131 ppb,98 ppb
2026-03-28 02:54:34,141 ppb,154 ppb,131 ppb,98 ppb
2026-03-28 03:24:39,150 ppb,157 ppb,144 ppb,104 ppb
2026-03-28 03:24:39,150 ppb,157 ppb,144 ppb,104 ppb
2026-03-28 03:54:46,156 ppb,166 ppb,147 ppb,108 ppb
2026-03-28 03:54:46,156 ppb,166 ppb,147 ppb,108 ppb
2026-03-28 04:24:52,170 ppb,176 ppb,164 ppb,118 ppb
2026-03-28 04:24:52,170 ppb,176 ppb,164 ppb,118 ppb
2026-03-28 04:54:58,169 ppb,175 ppb,162 ppb,117 ppb
2026-03-28 04:54:58,169 ppb,175 ppb,162 ppb,117 ppb
2026-03-28 05:25:04,171 ppb,177 ppb,167 ppb,118 ppb
2026-03-28 05:25:04,171 ppb,177 ppb,167 ppb,118 ppb
2026-03-28 05:25:04,171 ppb,177 ppb,167 ppb,118 ppb
2026-03-28 05:55:11,160 ppb,170 ppb,153 ppb,111 ppb
2026-03-28 05:55:11,160 ppb,170 ppb,153 ppb,111 ppb
2026-03-28 06:25:17,149 ppb,156 ppb,141 ppb,103 ppb
2026-03-28 06:25:17,149 ppb,156 ppb,141 ppb,103 ppb
2026-03-28 06:55:23,141 ppb,149 ppb,133 ppb,98 ppb
2026-03-28 07:25:29,138 ppb,144 ppb,134 ppb,96 ppb
2026-03-28 07:55:36,40 ppb,95 ppb,1 ppb,28 ppb
2026-03-28 08:25:42,64 ppb,81 ppb,52 ppb,44 ppb
2026-03-28 08:55:48,102 ppb,124 ppb,75 ppb,71 ppb
2026-03-28 09:25:54,117 ppb,132 ppb,100 ppb,81 ppb
2026-03-28 09:25:54,117 ppb,132 ppb,100 ppb,81 ppb
2026-03-28 09:25:54,117 ppb,132 ppb,100 ppb,81 ppb
2026-03-28 09:56:00,118 ppb,131 ppb,108 ppb,82 ppb
2026-03-28 10:26:18,115 ppb,130 ppb,105 ppb,80 ppb
2026-03-28 10:56:24,133 ppb,137 ppb,122 ppb,92 ppb
2026-03-28 11:26:31,138 ppb,147 ppb,128 ppb,96 ppb
2026-03-28 11:56:37,141 ppb,156 ppb,133 ppb,98 ppb
2026-03-28 11:56:37,141 ppb,156 ppb,133 ppb,98 ppb
2026-03-28 12:26:43,144 ppb,153 ppb,138 ppb,100 ppb
2026-03-28 12:56:49,148 ppb,157 ppb,142 ppb,102 ppb
2026-03-28 12:56:49,148 ppb,157 ppb,142 ppb,102 ppb
2026-03-28 13:26:56,156 ppb,165 ppb,150 ppb,108 ppb
2026-03-28 13:57:01,173 ppb,185 ppb,164 ppb,119 ppb
2026-03-28 14:27:08,188 ppb,196 ppb,182 ppb,130 ppb
2026-03-28 14:27:08,188 ppb,196 ppb,182 ppb,130 ppb
2026-03-28 15:27:20,204 ppb,216 ppb,194 ppb,141 ppb
2026-03-28 15:57:32,200 ppb,212 ppb,192 ppb,138 ppb
2026-03-28 15:57:32,200 ppb,212 ppb,192 ppb,138 ppb
2026-03-28 16:27:38,197 ppb,209 ppb,186 ppb,136 ppb
2026-03-28 16:27:38,197 ppb,209 ppb,186 ppb,136 ppb
2026-03-28 16:57:44,201 ppb,212 ppb,189 ppb,138 ppb
2026-03-28 16:57:44,201 ppb,212 ppb,189 ppb,138 ppb
2026-03-28 17:27:51,197 ppb,215 ppb,182 ppb,136 ppb
2026-03-28 17:57:57,186 ppb,199 ppb,173 ppb,128 ppb
2026-03-28 18:28:03,186 ppb,196 ppb,174 ppb,128 ppb
2026-03-28 18:28:03,186 ppb,196 ppb,174 ppb,128 ppb
2026-03-28 19:28:15,155 ppb,164 ppb,150 ppb,107 ppb
2026-03-28 19:58:21,159 ppb,175 ppb,147 ppb,110 ppb
2026-03-28 20:28:33,178 ppb,186 ppb,171 ppb,123 ppb
2026-03-28 20:28:33,178 ppb,186 ppb,171 ppb,123 ppb
2026-03-28 20:58:40,188 ppb,193 ppb,184 ppb,130 ppb
2026-03-28 21:28:46,194 ppb,199 ppb,190 ppb,134 ppb
2026-03-28 21:58:52,199 ppb,203 ppb,197 ppb,137 ppb
2026-03-28 21:58:52,199 ppb,203 ppb,197 ppb,137 ppb
2026-03-28 21:58:52,199 ppb,203 ppb,197 ppb,137 ppb
2026-03-28 22:28:58,203 ppb,208 ppb,200 ppb,140 ppb
2026-03-28 22:59:04,198 ppb,203 ppb,194 ppb,137 ppb
2026-03-28 22:59:04,198 ppb,203 ppb,194 ppb,137 ppb
2026-03-28 22:59:04,198 ppb,203 ppb,194 ppb,137 ppb
2026-03-28 23:29:11,195 ppb,198 ppb,192 ppb,135 ppb
2026-03-28 23:59:17,197 ppb,202 ppb,193 ppb,136 ppb
2026-03-29 00:29:23,202 ppb,213 ppb,196 ppb,139 ppb
2026-03-29 00:59:29,212 ppb,221 ppb,205 ppb,146 ppb
2026-03-29 01:29:36,217 ppb,222 ppb,210 ppb,150 ppb
2026-03-29 01:29:36,217 ppb,222 ppb,210 ppb,150 ppb
2026-03-29 01:29:36,217 ppb,222 ppb,210 ppb,150 ppb
2026-03-29 01:59:42,220 ppb,227 ppb,214 ppb,152 ppb
2026-03-29 02:29:48,220 ppb,232 ppb,204 ppb,152 ppb
2026-03-29 02:59:54,210 ppb,215 ppb,206 ppb,145 ppb
2026-03-29 02:59:54,210 ppb,215 ppb,206 ppb,145 ppb
2026-03-29 03:30:00,201 ppb,212 ppb,186 ppb,139 ppb
2026-03-29 04:00:07,199 ppb,206 ppb,191 ppb,137 ppb
2026-03-29 04:30:13,200 ppb,206 ppb,196 ppb,138 ppb
2026-03-29 04:30:13,200 ppb,206 ppb,196 ppb,138 ppb
2026-03-29 05:00:19,204 ppb,210 ppb,200 ppb,141 ppb
2026-03-29 05:30:25,203 ppb,211 ppb,201 ppb,140 ppb
2026-03-29 06:00:37,202 ppb,207 ppb,198 ppb,140 ppb
2026-03-29 06:00:37,202 ppb,207 ppb,198 ppb,140 ppb
2026-03-29 06:30:43,196 ppb,200 ppb,194 ppb,135 ppb
2026-03-29 07:00:49,195 ppb,202 ppb,186 ppb,135 ppb
2026-03-29 07:30:56,192 ppb,202 ppb,182 ppb,133 ppb
2026-03-29 08:01:02,185 ppb,200 ppb,177 ppb,128 ppb
2026-03-29 08:31:08,178 ppb,192 ppb,166 ppb,123 ppb
2026-03-29 09:01:14,190 ppb,207 ppb,178 ppb,131 ppb
2026-03-29 09:31:20,186 ppb,201 ppb,167 ppb,129 ppb
2026-03-29 10:01:27,163 ppb,179 ppb,147 ppb,113 ppb
2026-03-29 10:31:33,167 ppb,183 ppb,154 ppb,115 ppb
2026-03-29 10:31:33,167 ppb,183 ppb,154 ppb,115 ppb
2026-03-29 11:01:39,165 ppb,177 ppb,148 ppb,114 ppb
2026-03-29 11:01:39,165 ppb,177 ppb,148 ppb,114 ppb
2026-03-29 11:31:45,172 ppb,191 ppb,156 ppb,119 ppb
2026-03-29 12:01:51,184 ppb,200 ppb,170 ppb,127 ppb
2026-03-29 12:31:58,185 ppb,196 ppb,177 ppb,128 ppb
2026-03-29 13:32:10,201 ppb,217 ppb,186 ppb,138 ppb
2026-03-29 14:02:16,203 ppb,218 ppb,191 ppb,140 ppb
2026-03-29 14:02:16,203 ppb,218 ppb,191 ppb,140 ppb
2026-03-29 14:32:23,200 ppb,225 ppb,176 ppb,138 ppb
2026-03-29 15:02:29,195 ppb,211 ppb,180 ppb,134 ppb
2026-03-29 15:32:35,185 ppb,201 ppb,174 ppb,127 ppb
2026-03-29 15:32:35,185 ppb,201 ppb,174 ppb,127 ppb
2026-03-29 15:32:35,185 ppb,201 ppb,174 ppb,127 ppb
2026-03-29 16:02:52,184 ppb,201 ppb,169 ppb,126 ppb
2026-03-29 16:32:58,196 ppb,211 ppb,181 ppb,135 ppb
2026-03-29 17:33:11,202 ppb,214 ppb,189 ppb,139 ppb
2026-03-29 18:03:17,205 ppb,215 ppb,197 ppb,141 ppb
2026-03-29 18:03:17,205 ppb,215 ppb,197 ppb,141 ppb
2026-03-29 18:33:23,201 ppb,209 ppb,193 ppb,138 ppb
2026-03-29 19:03:30,187 ppb,201 ppb,177 ppb,128 ppb
2026-03-29 19:33:36,188 ppb,198 ppb,178 ppb,129 ppb
2026-03-29 19:33:36,188 ppb,198 ppb,178 ppb,129 ppb
2026-03-29 20:03:42,202 ppb,214 ppb,191 ppb,139 ppb
2026-03-29 20:33:48,215 ppb,220 ppb,212 ppb,148 ppb
2026-03-29 21:03:54,218 ppb,221 ppb,215 ppb,150 ppb
2026-03-29 21:34:01,210 ppb,220 ppb,206 ppb,144 ppb
2026-03-29 22:04:07,213 ppb,219 ppb,210 ppb,147 ppb
2026-03-29 22:34:13,227 ppb,235 ppb,217 ppb,156 ppb
2026-03-29 23:04:19,231 ppb,244 ppb,221 ppb,159 ppb
2026-03-29 23:34:26,248 ppb,264 ppb,239 ppb,171 ppb
2026-03-29 23:34:26,248 ppb,264 ppb,239 ppb,171 ppb
2026-03-30 00:34:38,257 ppb,266 ppb,250 ppb,177 ppb
2026-03-30 01:04:50,256 ppb,266 ppb,248 ppb,176 ppb
2026-03-30 01:35:03,260 ppb,269 ppb,255 ppb,179 ppb
2026-03-30 02:05:16,252 ppb,271 ppb,239 ppb,173 ppb
2026-03-30 02:05:16,252 ppb,271 ppb,239 ppb,173 ppb
2026-03-30 02:35:28,240 ppb,248 ppb,237 ppb,165 ppb
2026-03-30 02:35:28,240 ppb,248 ppb,237 ppb,165 ppb
2026-03-30 03:05:48,238 ppb,247 ppb,232 ppb,164 ppb
2026-03-30 03:36:00,245 ppb,249 ppb,242 ppb,169 ppb
2026-03-30 04:36:12,235 ppb,237 ppb,233 ppb,162 ppb
2026-03-30 05:06:18,232 ppb,237 ppb,228 ppb,160 ppb
2026-03-30 05:36:25,229 ppb,231 ppb,226 ppb,158 ppb
2026-03-30 06:06:31,223 ppb,227 ppb,204 ppb,153 ppb
2026-03-30 06:06:31,223 ppb,227 ppb,204 ppb,153 ppb
2026-03-30 06:36:37,211 ppb,216 ppb,207 ppb,145 ppb
2026-03-30 07:06:43,207 ppb,212 ppb,197 ppb,143 ppb
2026-03-30 07:36:49,207 ppb,216 ppb,199 ppb,143 ppb
2026-03-30 07:36:49,207 ppb,216 ppb,199 ppb,143 ppb
2026-03-30 08:06:56,195 ppb,206 ppb,183 ppb,134 ppb
2026-03-30 08:37:02,180 ppb,192 ppb,169 ppb,124 ppb
2026-03-30 08:37:02,180 ppb,192 ppb,169 ppb,124 ppb
2026-03-30 09:07:08,174 ppb,180 ppb,165 ppb,120 ppb
2026-03-30 09:37:14,149 ppb,170 ppb,126 ppb,103 ppb
2026-03-30 09:37:14,149 ppb,170 ppb,126 ppb,103 ppb
2026-03-30 09:37:14,149 ppb,170 ppb,126 ppb,103 ppb
2026-03-30 10:07:21,156 ppb,197 ppb,133 ppb,107 ppb
2026-03-30 11:07:33,215 ppb,242 ppb,201 ppb,148 ppb
2026-03-30 11:37:45,204 ppb,261 ppb,189 ppb,140 ppb
2026-03-30 12:07:58,190 ppb,292 ppb,156 ppb,130 ppb
2026-03-30 12:38:11,199 ppb,212 ppb,189 ppb,137 ppb
2026-03-30 13:08:23,199 ppb,209 ppb,192 ppb,136 ppb
2026-03-30 13:38:36,214 ppb,235 ppb,194 ppb,147 ppb
2026-03-30 13:38:36,214 ppb,235 ppb,194 ppb,147 ppb
2026-03-30 14:08:48,237 ppb,258 ppb,211 ppb,162 ppb
2026-03-30 15:09:01,228 ppb,263 ppb,204 ppb,156 ppb
2026-03-30 16:09:13,204 ppb,259 ppb,184 ppb,139 ppb
2026-03-30 16:09:13,204 ppb,259 ppb,184 ppb,139 ppb
2026-03-30 16:39:25,198 ppb,232 ppb,171 ppb,135 ppb
2026-03-30 17:09:31,180 ppb,212 ppb,157 ppb,123 ppb
2026-03-30 17:09:31,180 ppb,212 ppb,157 ppb,123 ppb
2026-03-30 17:09:31,180 ppb,212 ppb,157 ppb,123 ppb
2026-03-30 17:39:37,166 ppb,190 ppb,154 ppb,113 ppb
2026-03-30 17:39:37,166 ppb,190 ppb,154 ppb,113 ppb
2026-03-30 17:39:37,166 ppb,190 ppb,154 ppb,113 ppb
2026-03-30 18:09:43,164 ppb,182 ppb,150 ppb,112 ppb
2026-03-30 18:39:50,214 ppb,314 ppb,166 ppb,146 ppb
2026-03-30 19:10:01,217 ppb,238 ppb,194 ppb,148 ppb
2026-03-30 19:40:14,210 ppb,228 ppb,194 ppb,144 ppb
2026-03-30 20:10:27,228 ppb,235 ppb,219 ppb,156 ppb
2026-03-30 20:40:40,236 ppb,276 ppb,223 ppb,161 ppb
2026-03-30 21:10:53,210 ppb,220 ppb,200 ppb,144 ppb
2026-03-30 21:10:53,210 ppb,220 ppb,200 ppb,144 ppb
2026-03-30 21:41:05,198 ppb,206 ppb,189 ppb,136 ppb
2026-03-30 22:11:16,194 ppb,205 ppb,180 ppb,133 ppb
2026-03-30 22:41:36,183 ppb,212 ppb,174 ppb,125 ppb
2026-03-30 23:11:56,175 ppb,194 ppb,164 ppb,120 ppb
2026-03-30 23:42:15,163 ppb,169 ppb,155 ppb,112 ppb
2026-03-31 00:12:34,163 ppb,170 ppb,156 ppb,112 ppb
2026-03-31 00:12:34,163 ppb,170 ppb,156 ppb,112 ppb
2026-03-31 11:47:20,169 ppb,248 ppb,147 ppb,116 ppb
2026-03-31 12:47:33,202 ppb,213 ppb,191 ppb,138 ppb
2026-03-31 12:47:33,202 ppb,213 ppb,191 ppb,138 ppb
2026-03-31 12:47:33,202 ppb,213 ppb,191 ppb,138 ppb
2026-03-31 13:17:39,220 ppb,234 ppb,204 ppb,150 ppb
2026-03-31 13:17:39,220 ppb,234 ppb,204 ppb,150 ppb
2026-03-31 13:17:39,220 ppb,234 ppb,204 ppb,150 ppb
2026-03-31 13:47:45,235 ppb,273 ppb,210 ppb,160 ppb
2026-03-31 13:47:45,235 ppb,273 ppb,210 ppb,160 ppb
2026-03-31 14:17:51,231 ppb,239 ppb,224 ppb,157 ppb
2026-03-31 14:17:51,231 ppb,239 ppb,224 ppb,157 ppb
2026-03-31 14:47:57,218 ppb,228 ppb,210 ppb,148 ppb
2026-03-31 14:47:57,218 ppb,228 ppb,210 ppb,148 ppb
2026-03-31 15:18:04,211 ppb,223 ppb,201 ppb,144 ppb
2026-03-31 15:18:04,211 ppb,223 ppb,201 ppb,144 ppb
2026-03-31 15:18:04,211 ppb,223 ppb,201 ppb,144 ppb
2026-03-31 15:48:10,137 ppb,233 ppb,60 ppb,94 ppb
2026-03-31 15:48:10,137 ppb,233 ppb,60 ppb,94 ppb
2026-03-31 16:18:16,92 ppb,106 ppb,80 ppb,63 ppb
2026-03-31 16:18:16,92 ppb,106 ppb,80 ppb,63 ppb
2026-03-31 16:48:28,94 ppb,115 ppb,77 ppb,64 ppb
2026-03-31 16:48:28,94 ppb,115 ppb,77 ppb,64 ppb
2026-03-31 16:48:28,94 ppb,115 ppb,77 ppb,64 ppb
2026-03-31 17:18:34,123 ppb,138 ppb,110 ppb,84 ppb
2026-03-31 18:18:47,138 ppb,153 ppb,130 ppb,94 ppb
2026-03-31 18:18:47,138 ppb,153 ppb,130 ppb,94 ppb
2026-03-31 18:48:53,119 ppb,137 ppb,102 ppb,82 ppb
2026-03-31 18:48:53,119 ppb,137 ppb,102 ppb,82 ppb
2026-03-31 19:19:04,86 ppb,100 ppb,78 ppb,59 ppb
2026-03-31 19:19:04,86 ppb,100 ppb,78 ppb,59 ppb
2026-03-31 19:49:11,99 ppb,115 ppb,79 ppb,68 ppb
2026-03-31 19:49:11,99 ppb,115 ppb,79 ppb,68 ppb
2026-03-31 19:49:11,99 ppb,115 ppb,79 ppb,68 ppb
2026-03-31 20:19:17,106 ppb,116 ppb,89 ppb,73 ppb
2026-03-31 20:19:17,106 ppb,116 ppb,89 ppb,73 ppb
2026-03-31 20:49:23,123 ppb,130 ppb,117 ppb,84 ppb
2026-03-31 20:49:23,123 ppb,130 ppb,117 ppb,84 ppb
2026-03-31 21:19:29,128 ppb,135 ppb,124 ppb,88 ppb
2026-03-31 21:19:29,128 ppb,135 ppb,124 ppb,88 ppb
2026-03-31 22:49:48,176 ppb,193 ppb,162 ppb,121 ppb
2026-03-31 23:19:54,171 ppb,176 ppb,168 ppb,117 ppb
2026-03-31 23:50:00,162 ppb,170 ppb,155 ppb,111 ppb
2026-03-31 23:50:00,162 ppb,170 ppb,155 ppb,111 ppb
2026-03-31 23:50:00,162 ppb,170 ppb,155 ppb,111 ppb
2026-04-01 00:20:07,158 ppb,167 ppb,153 ppb,108 ppb
2026-04-01 00:20:07,158 ppb,167 ppb,153 ppb,108 ppb
2026-04-01 00:50:25,152 ppb,158 ppb,147 ppb,104 ppb
2026-04-01 00:50:25,152 ppb,158 ppb,147 ppb,104 ppb
2026-04-01 01:20:31,142 ppb,151 ppb,131 ppb,98 ppb
2026-04-01 01:20:31,142 ppb,151 ppb,131 ppb,98 ppb
2026-04-01 01:50:44,119 ppb,132 ppb,109 ppb,82 ppb
2026-04-01 01:50:44,119 ppb,132 ppb,109 ppb,82 ppb
2026-04-01 02:21:04,105 ppb,112 ppb,98 ppb,72 ppb
2026-04-01 02:21:04,105 ppb,112 ppb,98 ppb,72 ppb
2026-04-01 02:51:10,91 ppb,99 ppb,85 ppb,63 ppb
2026-04-01 02:51:10,91 ppb,99 ppb,85 ppb,63 ppb
2026-04-01 03:21:23,81 ppb,85 ppb,78 ppb,56 ppb
2026-04-01 04:21:46,83 ppb,85 ppb,79 ppb,57 ppb
2026-04-01 04:51:52,76 ppb,81 ppb,73 ppb,52 ppb
2026-04-01 05:21:59,68 ppb,76 ppb,52 ppb,47 ppb
2026-04-01 05:21:59,68 ppb,76 ppb,52 ppb,47 ppb
2026-04-01 05:52:05,68 ppb,71 ppb,63 ppb,47 ppb
2026-04-01 06:22:11,70 ppb,73 ppb,69 ppb,48 ppb
2026-04-01 06:22:11,70 ppb,73 ppb,69 ppb,48 ppb
2026-04-01 07:22:24,67 ppb,71 ppb,62 ppb,46 ppb
2026-04-01 07:52:30,47 ppb,63 ppb,22 ppb,32 ppb
2026-04-01 07:52:30,47 ppb,63 ppb,22 ppb,32 ppb
2026-04-01 08:22:36,62 ppb,75 ppb,54 ppb,43 ppb
2026-04-01 09:22:48,59 ppb,63 ppb,53 ppb,41 ppb
2026-04-01 09:53:00,55 ppb,59 ppb,50 ppb,38 ppb
2026-04-01 10:23:13,49 ppb,59 ppb,37 ppb,34 ppb
2026-04-01 10:53:26,50 ppb,69 ppb,32 ppb,34 ppb
2026-04-01 11:23:39,54 ppb,69 ppb,33 ppb,37 ppb
2026-04-01 11:23:39,54 ppb,69 ppb,33 ppb,37 ppb
2026-04-01 11:23:39,54 ppb,69 ppb,33 ppb,37 ppb
2026-04-01 11:53:52,75 ppb,93 ppb,66 ppb,52 ppb
2026-04-01 12:24:03,91 ppb,99 ppb,83 ppb,63 ppb
2026-04-01 12:54:10,95 ppb,108 ppb,78 ppb,65 ppb
2026-04-01 12:54:10,95 ppb,108 ppb,78 ppb,65 ppb
2026-04-01 13:24:16,93 ppb,124 ppb,69 ppb,64 ppb
2026-04-01 13:54:22,73 ppb,92 ppb,47 ppb,50 ppb
2026-04-01 13:54:22,73 ppb,92 ppb,47 ppb,50 ppb
2026-04-01 13:54:22,73 ppb,92 ppb,47 ppb,50 ppb
2026-04-01 14:24:28,81 ppb,95 ppb,62 ppb,56 ppb
2026-04-01 14:54:35,240 ppb,490 ppb,83 ppb,165 ppb
2026-04-01 14:54:35,240 ppb,490 ppb,83 ppb,165 ppb
2026-04-01 15:24:41,226 ppb,369 ppb,165 ppb,156 ppb
