TIME,Direção do vento
2026-03-25 18:11:02,
2026-03-25 18:41:40,0
2026-03-25 18:41:40,0
2026-03-25 19:11:46,0
2026-03-25 19:11:46,0
2026-03-25 19:41:52,0
2026-03-25 19:41:52,0
2026-03-25 20:11:58,0
2026-03-25 20:11:58,0
2026-03-25 20:42:04,0
2026-03-25 21:12:10,0
2026-03-25 21:42:17,0
2026-03-25 21:42:17,0
2026-03-25 22:12:23,0
2026-03-25 22:42:29,0
2026-03-25 22:42:29,0
2026-03-25 23:12:35,0
2026-03-25 23:12:35,0
2026-03-25 23:42:42,0
2026-03-26 00:12:48,0
2026-03-26 00:12:48,0
2026-03-26 00:42:54,0
2026-03-26 00:42:54,0
2026-03-26 01:13:00,0
2026-03-26 01:13:00,0
2026-03-26 01:43:07,0
2026-03-26 01:43:07,0
2026-03-26 02:13:13,0
2026-03-26 02:43:19,0
2026-03-26 02:43:19,0
2026-03-26 03:13:31,0
2026-03-26 03:43:37,0
2026-03-26 04:13:43,0
2026-03-26 04:13:43,0
2026-03-26 05:13:56,0
2026-03-26 05:13:56,0
2026-03-26 05:44:02,0
2026-03-26 05:44:02,0
2026-03-26 06:14:08,0
2026-03-26 06:14:08,0
2026-03-26 06:44:14,0
2026-03-26 06:44:14,0
2026-03-26 07:14:20,0
2026-03-26 07:14:20,0
2026-03-26 07:44:27,0
2026-03-26 08:44:39,0
2026-03-26 08:44:39,0
2026-03-26 09:14:57,0
2026-03-26 09:14:57,0
2026-03-26 09:45:04,0
2026-03-26 10:15:17,0
2026-03-26 10:45:30,0
2026-03-26 11:15:43,0
2026-03-26 11:46:01,0
2026-03-26 12:16:07,0
2026-03-26 12:46:13,0
2026-03-26 13:16:20,0
2026-03-26 14:16:32,0
2026-03-26 14:46:38,0
2026-03-26 15:16:44,0
2026-03-26 15:46:56,0
2026-03-26 16:17:02,0
2026-03-26 16:47:09,0
2026-03-26 16:47:09,0
2026-03-26 17:17:15,0
2026-03-26 17:47:21,0
2026-03-26 18:17:27,0
2026-03-26 18:17:27,0
2026-03-26 18:47:34,0
2026-03-26 19:17:40,0
2026-03-26 19:17:40,0
2026-03-26 19:47:46,0
2026-03-26 20:17:52,0
2026-03-26 21:18:04,0
2026-03-26 21:18:04,0
2026-03-26 21:48:11,0
2026-03-26 21:48:11,0
2026-03-26 22:18:17,0
2026-03-26 22:18:17,0
2026-03-26 22:48:23,0
2026-03-26 22:48:23,0
2026-03-26 23:18:29,0
2026-03-26 23:48:36,0
2026-03-27 00:18:42,0
2026-03-27 00:48:48,0
2026-03-27 01:18:54,0
2026-03-27 01:49:12,0
2026-03-27 17:52:42,0
2026-03-27 17:52:42,0
2026-03-27 18:22:48,0
2026-03-27 18:52:54,0
2026-03-27 18:52:54,0
2026-03-27 18:52:54,0
2026-03-27 19:23:00,0
2026-03-27 19:23:00,0
2026-03-27 19:23:00,0
2026-03-27 19:53:06,0
2026-03-27 20:23:13,0
2026-03-27 20:53:19,0
2026-03-27 21:23:25,0
2026-03-27 21:23:25,0
2026-03-27 21:53:31,0
2026-03-27 21:53:31,0
2026-03-27 22:23:37,0
2026-03-27 22:23:37,0
2026-03-27 22:23:37,0
2026-03-27 22:53:44,0
2026-03-27 23:23:50,0
2026-03-27 23:23:50,0
2026-03-27 23:53:56,0
2026-03-27 23:53:56,0
2026-03-28 00:24:02,0
2026-03-28 00:54:08,0
2026-03-28 00:54:08,0
2026-03-28 00:54:08,0
2026-03-28 01:24:14,0
2026-03-28 01:24:14,0
2026-03-28 01:24:14,0
2026-03-28 01:54:21,0
2026-03-28 01:54:21,0
2026-03-28 02:24:27,0
2026-03-28 02:54:34,0
2026-03-28 02:54:34,0
2026-03-28 02:54:34,0
2026-03-28 03:24:39,0
2026-03-28 03:24:39,0
2026-03-28 03:54:46,0
2026-03-28 03:54:46,0
2026-03-28 04:24:52,0
2026-03-28 04:24:52,0
2026-03-28 04:54:58,0
2026-03-28 04:54:58,0
2026-03-28 05:25:04,0
2026-03-28 05:25:04,0
2026-03-28 05:25:04,0
2026-03-28 05:55:11,0
2026-03-28 05:55:11,0
2026-03-28 06:25:17,0
2026-03-28 06:25:17,0
2026-03-28 06:55:23,0
2026-03-28 07:25:29,0
2026-03-28 07:55:36,0
2026-03-28 08:25:42,0
2026-03-28 08:55:48,0
2026-03-28 09:25:54,0
2026-03-28 09:25:54,0
2026-03-28 09:25:54,0
2026-03-28 09:56:00,0
2026-03-28 10:26:18,0
2026-03-28 10:56:24,0
2026-03-28 11:26:31,0
2026-03-28 11:56:37,0
2026-03-28 11:56:37,0
2026-03-28 12:26:43,0
2026-03-28 12:56:49,0
2026-03-28 12:56:49,0
2026-03-28 13:26:56,0
2026-03-28 13:57:01,0
2026-03-28 14:27:08,0
2026-03-28 14:27:08,0
2026-03-28 15:27:20,0
2026-03-28 15:57:32,0
2026-03-28 15:57:32,0
2026-03-28 16:27:38,0
2026-03-28 16:27:38,0
2026-03-28 16:57:44,0
2026-03-28 16:57:44,0
2026-03-28 17:27:51,0
2026-03-28 17:57:57,0
2026-03-28 18:28:03,0
2026-03-28 18:28:03,0
2026-03-28 19:28:15,0
2026-03-28 19:58:21,0
2026-03-28 20:28:33,0
2026-03-28 20:28:33,0
2026-03-28 20:58:40,0
2026-03-28 21:28:46,0
2026-03-28 21:58:52,0
2026-03-28 21:58:52,0
2026-03-28 21:58:52,0
2026-03-28 22:28:58,0
2026-03-28 22:59:04,0
2026-03-28 22:59:04,0
2026-03-28 22:59:04,0
2026-03-28 23:29:11,0
2026-03-28 23:59:17,0
2026-03-29 00:29:23,0
2026-03-29 00:59:29,0
2026-03-29 01:29:36,0
2026-03-29 01:29:36,0
2026-03-29 01:29:36,0
2026-03-29 01:59:42,0
2026-03-29 02:29:48,0
2026-03-29 02:59:54,0
2026-03-29 02:59:54,0
2026-03-29 03:30:00,0
2026-03-29 04:00:07,0
2026-03-29 04:30:13,0
2026-03-29 04:30:13,0
2026-03-29 05:00:19,0
